date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2015-01-01 00:00:00,20,7,0.0,8.7,4,72,02:18 PM,03:19 AM,07:12 AM,05:10 PM,-16,8,10,8,33,0,14,0.0,1022,9,10,39,16,Rawalpindi
2015-01-01 03:00:00,20,7,0.0,8.7,4,72,02:18 PM,03:19 AM,07:12 AM,05:10 PM,-15,9,11,9,20,0,14,0.0,1021,7,10,38,10,Rawalpindi
2015-01-01 06:00:00,20,7,0.0,8.7,4,72,02:18 PM,03:19 AM,07:12 AM,05:10 PM,-17,8,10,8,30,0,14,0.0,1023,8,10,27,14,Rawalpindi
2015-01-01 09:00:00,20,7,0.0,8.7,4,72,02:18 PM,03:19 AM,07:12 AM,05:10 PM,-12,22,22,22,3,0,9,0.0,1022,17,10,29,3,Rawalpindi
2015-01-01 12:00:00,20,7,0.0,8.7,4,72,02:18 PM,03:19 AM,07:12 AM,05:10 PM,-13,23,22,23,11,0,8,0.0,1021,20,10,309,10,Rawalpindi
2015-01-01 15:00:00,20,7,0.0,8.7,4,72,02:18 PM,03:19 AM,07:12 AM,05:10 PM,-9,16,16,16,10,0,17,0.0,1019,12,10,285,5,Rawalpindi
2015-01-01 18:00:00,20,7,0.0,8.7,4,72,02:18 PM,03:19 AM,07:12 AM,05:10 PM,-11,12,13,12,15,0,19,0.0,1020,10,10,349,7,Rawalpindi
2015-01-01 21:00:00,20,7,0.0,8.7,4,72,02:18 PM,03:19 AM,07:12 AM,05:10 PM,-13,10,11,10,17,0,17,0.0,1020,8,10,38,8,Rawalpindi
2015-01-02 00:00:00,20,7,0.0,8.7,4,80,03:05 PM,04:17 AM,07:12 AM,05:11 PM,-13,9,11,9,26,0,17,0.0,1020,8,10,27,12,Rawalpindi
2015-01-02 03:00:00,20,7,0.0,8.7,4,80,03:05 PM,04:17 AM,07:12 AM,05:11 PM,-13,6,8,6,26,7,21,0.0,1020,7,10,32,13,Rawalpindi
2015-01-02 06:00:00,20,7,0.0,8.7,4,80,03:05 PM,04:17 AM,07:12 AM,05:11 PM,-11,7,9,7,26,19,23,0.0,1020,8,10,38,13,Rawalpindi
2015-01-02 09:00:00,20,7,0.0,8.7,4,80,03:05 PM,04:17 AM,07:12 AM,05:11 PM,-10,19,19,19,3,16,13,0.0,1020,18,10,332,3,Rawalpindi
2015-01-02 12:00:00,20,7,0.0,8.7,4,80,03:05 PM,04:17 AM,07:12 AM,05:11 PM,-11,21,22,21,9,21,11,0.0,1018,20,10,258,8,Rawalpindi
2015-01-02 15:00:00,20,7,0.0,8.7,4,80,03:05 PM,04:17 AM,07:12 AM,05:11 PM,-9,13,13,13,11,32,21,0.0,1017,12,10,296,5,Rawalpindi
2015-01-02 18:00:00,20,7,0.0,8.7,4,80,03:05 PM,04:17 AM,07:12 AM,05:11 PM,-8,10,10,10,5,51,27,0.0,1018,9,10,60,2,Rawalpindi
2015-01-02 21:00:00,20,7,0.0,8.7,4,80,03:05 PM,04:17 AM,07:12 AM,05:11 PM,-11,11,12,11,15,4,19,0.0,1018,10,10,79,7,Rawalpindi
2015-01-03 00:00:00,19,8,0.0,8.7,4,87,03:54 PM,05:13 AM,07:13 AM,05:12 PM,-14,9,11,9,29,3,16,0.0,1019,10,10,72,14,Rawalpindi
2015-01-03 03:00:00,19,8,0.0,8.7,4,87,03:54 PM,05:13 AM,07:13 AM,05:12 PM,-19,7,9,7,29,3,12,0.0,1018,8,10,69,14,Rawalpindi
2015-01-03 06:00:00,19,8,0.0,8.7,4,87,03:54 PM,05:13 AM,07:13 AM,05:12 PM,-18,8,9,8,23,6,13,0.0,1020,8,10,61,11,Rawalpindi
2015-01-03 09:00:00,19,8,0.0,8.7,4,87,03:54 PM,05:13 AM,07:13 AM,05:12 PM,-13,18,18,18,5,9,10,0.0,1020,17,10,38,5,Rawalpindi
2015-01-03 12:00:00,19,8,0.0,8.7,4,87,03:54 PM,05:13 AM,07:13 AM,05:12 PM,-10,20,20,20,9,8,12,0.0,1017,19,10,250,8,Rawalpindi
2015-01-03 15:00:00,19,8,0.0,8.7,4,87,03:54 PM,05:13 AM,07:13 AM,05:12 PM,-6,15,15,15,15,2,22,0.0,1017,12,10,288,8,Rawalpindi
2015-01-03 18:00:00,19,8,0.0,8.7,4,87,03:54 PM,05:13 AM,07:13 AM,05:12 PM,-8,11,11,11,7,5,26,0.0,1019,9,10,340,3,Rawalpindi
2015-01-03 21:00:00,19,8,0.0,8.7,4,87,03:54 PM,05:13 AM,07:13 AM,05:12 PM,-9,9,10,9,14,4,25,0.0,1020,8,10,58,7,Rawalpindi
2015-01-04 00:00:00,17,7,0.0,8.7,4,94,04:45 PM,06:05 AM,07:13 AM,05:13 PM,-12,6,9,6,29,31,21,0.0,1021,8,10,60,14,Rawalpindi
2015-01-04 03:00:00,17,7,0.0,8.7,4,94,04:45 PM,06:05 AM,07:13 AM,05:13 PM,-15,5,7,5,31,48,18,0.0,1021,7,10,61,15,Rawalpindi
2015-01-04 06:00:00,17,7,0.0,8.7,4,94,04:45 PM,06:05 AM,07:13 AM,05:13 PM,-15,6,8,6,26,32,17,0.0,1022,8,10,58,13,Rawalpindi
2015-01-04 09:00:00,17,7,0.0,8.7,4,94,04:45 PM,06:05 AM,07:13 AM,05:13 PM,-13,20,20,20,3,0,9,0.0,1024,15,10,77,3,Rawalpindi
2015-01-04 12:00:00,17,7,0.0,8.7,4,94,04:45 PM,06:05 AM,07:13 AM,05:13 PM,-13,20,20,20,8,3,10,0.0,1021,17,10,227,7,Rawalpindi
2015-01-04 15:00:00,17,7,0.0,8.7,4,94,04:45 PM,06:05 AM,07:13 AM,05:13 PM,-10,13,14,13,15,54,18,0.0,1021,13,10,263,7,Rawalpindi
2015-01-04 18:00:00,17,7,0.0,8.7,4,94,04:45 PM,06:05 AM,07:13 AM,05:13 PM,-11,11,11,11,8,45,21,0.0,1022,10,10,344,4,Rawalpindi
2015-01-04 21:00:00,17,7,0.0,8.7,4,94,04:45 PM,06:05 AM,07:13 AM,05:13 PM,-15,8,9,8,16,31,16,0.0,1022,9,10,39,8,Rawalpindi
2015-01-05 00:00:00,18,7,0.0,8.7,4,100,05:39 PM,06:53 AM,07:13 AM,05:13 PM,-17,7,9,7,28,15,14,0.0,1021,8,10,39,13,Rawalpindi
2015-01-05 03:00:00,18,7,0.0,8.7,4,100,05:39 PM,06:53 AM,07:13 AM,05:13 PM,-16,6,8,6,22,12,17,0.0,1021,7,10,24,10,Rawalpindi
2015-01-05 06:00:00,18,7,0.0,8.7,4,100,05:39 PM,06:53 AM,07:13 AM,05:13 PM,-12,7,9,7,22,6,21,0.0,1021,8,10,21,11,Rawalpindi
2015-01-05 09:00:00,18,7,0.0,8.7,4,100,05:39 PM,06:53 AM,07:13 AM,05:13 PM,-9,17,17,17,4,13,16,0.0,1021,16,10,322,4,Rawalpindi
2015-01-05 12:00:00,18,7,0.0,8.7,4,100,05:39 PM,06:53 AM,07:13 AM,05:13 PM,-8,18,18,18,13,45,15,0.0,1018,18,10,285,12,Rawalpindi
2015-01-05 15:00:00,18,7,0.0,8.7,4,100,05:39 PM,06:53 AM,07:13 AM,05:13 PM,-6,14,14,14,12,50,25,0.0,1017,13,10,270,6,Rawalpindi
2015-01-05 18:00:00,18,7,0.0,8.7,4,100,05:39 PM,06:53 AM,07:13 AM,05:13 PM,-5,11,11,11,7,29,32,0.0,1018,10,10,316,3,Rawalpindi
2015-01-05 21:00:00,18,7,0.0,8.7,4,100,05:39 PM,06:53 AM,07:13 AM,05:13 PM,-6,9,9,9,10,15,34,0.0,1018,8,10,31,5,Rawalpindi
2015-01-06 00:00:00,19,8,0.0,8.7,4,100,06:33 PM,07:37 AM,07:13 AM,05:14 PM,-8,7,9,7,20,10,30,0.0,1017,8,10,27,10,Rawalpindi
2015-01-06 03:00:00,19,8,0.0,8.7,4,100,06:33 PM,07:37 AM,07:13 AM,05:14 PM,-8,7,9,7,22,8,29,0.0,1017,8,10,18,10,Rawalpindi
2015-01-06 06:00:00,19,8,0.0,8.7,4,100,06:33 PM,07:37 AM,07:13 AM,05:14 PM,-8,8,10,8,23,3,27,0.0,1017,8,10,17,11,Rawalpindi
2015-01-06 09:00:00,19,8,0.0,8.7,4,100,06:33 PM,07:37 AM,07:13 AM,05:14 PM,-5,21,21,21,8,0,17,0.0,1017,17,10,311,7,Rawalpindi
2015-01-06 12:00:00,19,8,0.0,8.7,4,100,06:33 PM,07:37 AM,07:13 AM,05:14 PM,-5,21,21,21,16,0,17,0.0,1014,19,10,289,14,Rawalpindi
2015-01-06 15:00:00,19,8,0.0,8.7,4,100,06:33 PM,07:37 AM,07:13 AM,05:14 PM,-1,16,16,16,18,0,30,0.0,1014,14,10,274,10,Rawalpindi
2015-01-06 18:00:00,19,8,0.0,8.7,4,100,06:33 PM,07:37 AM,07:13 AM,05:14 PM,0,14,14,14,12,0,41,0.0,1015,10,10,325,6,Rawalpindi
2015-01-06 21:00:00,19,8,0.0,8.7,4,100,06:33 PM,07:37 AM,07:13 AM,05:14 PM,-0,12,12,12,8,0,44,0.0,1015,8,10,44,4,Rawalpindi
2015-01-07 00:00:00,20,8,0.0,8.7,4,84,07:27 PM,08:17 AM,07:13 AM,05:15 PM,-3,11,12,11,22,0,36,0.0,1016,9,10,33,10,Rawalpindi
2015-01-07 03:00:00,20,8,0.0,8.7,4,84,07:27 PM,08:17 AM,07:13 AM,05:15 PM,-5,9,11,9,23,0,34,0.0,1017,8,10,23,11,Rawalpindi
2015-01-07 06:00:00,20,8,0.0,8.7,4,84,07:27 PM,08:17 AM,07:13 AM,05:15 PM,-5,10,11,10,18,0,30,0.0,1018,8,10,15,10,Rawalpindi
2015-01-07 09:00:00,20,8,0.0,8.7,4,84,07:27 PM,08:17 AM,07:13 AM,05:15 PM,-5,20,20,20,7,0,17,0.0,1017,17,10,343,6,Rawalpindi
2015-01-07 12:00:00,20,8,0.0,8.7,4,84,07:27 PM,08:17 AM,07:13 AM,05:15 PM,-9,21,22,21,15,0,13,0.0,1015,20,10,285,13,Rawalpindi
2015-01-07 15:00:00,20,8,0.0,8.7,4,84,07:27 PM,08:17 AM,07:13 AM,05:15 PM,-8,15,15,15,7,0,19,0.0,1016,11,10,306,4,Rawalpindi
2015-01-07 18:00:00,20,8,0.0,8.7,4,84,07:27 PM,08:17 AM,07:13 AM,05:15 PM,-9,12,12,12,5,0,21,0.0,1018,8,10,346,3,Rawalpindi
2015-01-07 21:00:00,20,8,0.0,8.7,4,84,07:27 PM,08:17 AM,07:13 AM,05:15 PM,-12,10,11,10,14,0,18,0.0,1018,8,10,16,6,Rawalpindi
2015-01-08 00:00:00,20,6,0.0,8.7,4,77,08:21 PM,08:53 AM,07:13 AM,05:16 PM,-14,10,11,10,21,0,16,0.0,1017,8,10,23,10,Rawalpindi
2015-01-08 03:00:00,20,6,0.0,8.7,4,77,08:21 PM,08:53 AM,07:13 AM,05:16 PM,-15,8,10,8,21,0,16,0.0,1018,6,10,34,10,Rawalpindi
